,0,1,2
92,https://www.amazon.com.br/Notebook-Ultraport%C3%A1til-Dell-Inspiron-i13-7391-A10S/dp/B07ZHRX3DV/ref=sr_1_93?dchild=1&keywords=iphone&qid=1607914788&sr=8-93,"5,0 de 5 estrelas",3
93,https://www.amazon.com.br/Pel%C3%ADcula-Vidro-Temperado-Cover-iPhone/dp/B07ZJW88Z4/ref=sr_1_94?dchild=1&keywords=iphone&qid=1607914788&sr=8-94,"3,9 de 5 estrelas",116
94,https://www.amazon.com.br/Microfone-Lightning-BOYA-microfone-universal/dp/B07ZX87GBN/ref=sr_1_95?dchild=1&keywords=iphone&qid=1607914788&sr=8-95,"4,3 de 5 estrelas",42
95,https://www.amazon.com.br/Iphone-11-Pro-256GB-Vitrine/dp/B084GSPKWP/ref=sr_1_96?dchild=1&keywords=iphone&qid=1607914788&sr=8-96,Sem avaliação,Sem avaliação
96,https://www.amazon.com.br/Iphone-11-Pro-256GB-Vitrine/dp/B084GSPKWP/ref=sr_1_97?dchild=1&keywords=iphone&qid=1607914789&sr=8-97,Sem avaliação,Sem avaliação
97,https://www.amazon.com.br/Pel%C3%ADculas-Temperado-Original-Spigen-iPhone/dp/B07GX1W3CF/ref=sr_1_98?dchild=1&keywords=iphone&qid=1607914789&sr=8-98,"4,7 de 5 estrelas",332
98,https://www.amazon.com.br/magn%C3%A9tica-PITAKA-polegadas-minimalista-material/dp/B07X94FZG4/ref=sr_1_99?dchild=1&keywords=iphone&qid=1607914789&sr=8-99,"4,4 de 5 estrelas",207
99,https://www.amazon.com.br/Novo-Apple-iPhone-128-Vermelho/dp/B08L5P8MRB/ref=sr_1_100?dchild=1&keywords=iphone&qid=1607914789&sr=8-100,"5,0 de 5 estrelas",1
100,https://www.amazon.com.br/Pel%C3%ADcula-Vidro-3D-Para-Iphone/dp/B08B4JKWZ5/ref=sr_1_101?dchild=1&keywords=iphone&qid=1607914789&sr=8-101,"4,1 de 5 estrelas",10
101,https://www.amazon.com.br/Fone-Ouvido-Apple-EarPods-Lightning/dp/B01M1EEPOB/ref=sr_1_102?dchild=1&keywords=iphone&qid=1607914789&sr=8-102,"4,5 de 5 estrelas",16.462
102,https://www.amazon.com.br/Pel%C3%ADcula-Hprime-Nanoshield-Iphone-Entrega/dp/B0794JFNWZ/ref=sr_1_103?dchild=1&keywords=iphone&qid=1607914789&sr=8-103,"4,1 de 5 estrelas",139
103,https://www.amazon.com.br/Apple-iPhone-7-128GB-Prateado/dp/B075W2PFL1/ref=sr_1_104?dchild=1&keywords=iphone&qid=1607914789&sr=8-104,"5,0 de 5 estrelas",3
104,https://www.amazon.com.br/iPhone-6s-32GB-Ouro-Rosa/dp/B075MG6R7C/ref=sr_1_105?dchild=1&keywords=iphone&qid=1607914789&sr=8-105,Sem avaliação,Sem avaliação
105,https://www.amazon.com.br/Apple-Iphone-Single-Tela-Branco/dp/B00MN9QLB8/ref=sr_1_106?dchild=1&keywords=iphone&qid=1607914789&sr=8-106,"3,2 de 5 estrelas",5
106,https://www.amazon.com.br/IPHONE-11-BRANCO-TELA-C%C3%82MERA/dp/B087XYKX6M/ref=sr_1_107?dchild=1&keywords=iphone&qid=1607914789&sr=8-107,Sem avaliação,Sem avaliação
107,https://www.amazon.com.br/FYY-polegadas-bloqueio-carteira-compartimentos/dp/B08FYMFHNF/ref=sr_1_108?dchild=1&keywords=iphone&qid=1607914789&sr=8-108,"4,6 de 5 estrelas",25
108,https://www.amazon.com.br/Protetora-Polegadas-Transparente-Prote%C3%A7%C3%A3o-Silicone/dp/B08P5XV2PR/ref=sr_1_109?dchild=1&keywords=iphone&qid=1607914789&sr=8-109,Sem avaliação,Sem avaliação
109,https://www.amazon.com.br/iPhone-Spigen-Rugged-Armor-Anti-Impacto/dp/B07T3RK9YB/ref=sr_1_110?dchild=1&keywords=iphone&qid=1607914789&sr=8-110,"4,7 de 5 estrelas",1.560
110,https://www.amazon.com.br/iPhone-XS-Max-Metallic-DIP1511GD/dp/B082QHGZ72/ref=sr_1_111?dchild=1&keywords=iphone&qid=1607914789&sr=8-111,"5,0 de 5 estrelas",1
111,https://www.amazon.com.br/iPhone-Lightning-Essential-GEONAV-ESLISG/dp/B076J1MQV1/ref=sr_1_112?dchild=1&keywords=iphone&qid=1607914789&sr=8-112,"4,2 de 5 estrelas",447
112,https://www.amazon.com.br/Cabo-Apple-Lightning-iPhone-MD819BZ/dp/B00WB1JLRO/ref=sr_1_113?dchild=1&keywords=iphone&qid=1607914789&sr=8-113,"4,1 de 5 estrelas",6
113,https://www.amazon.com.br/IPHONE-ORIGINAL-CERTIFICADO-LIGHTNING-METROS/dp/B089XK13TN/ref=sr_1_114?dchild=1&keywords=iphone&qid=1607914789&sr=8-114,"3,9 de 5 estrelas",5
114,https://www.amazon.com.br/compat%C3%ADvel-iPhone-12-polegadas-Babemall/dp/B08JCVDX9F/ref=sr_1_115?dchild=1&keywords=iphone&qid=1607914789&sr=8-115,"3,9 de 5 estrelas",2.356
115,https://www.amazon.com.br/Cabo-Usb-Lightning-Original-Apple/dp/B014LFT8H0/ref=sr_1_116?dchild=1&keywords=iphone&qid=1607914789&sr=8-116,"5,0 de 5 estrelas",12
116,https://www.amazon.com.br/Pel%C3%ADculas-Temperado-Original-Spigen-iPhone/dp/B07HRYZFN3/ref=sr_1_117?dchild=1&keywords=iphone&qid=1607914789&sr=8-117,"4,7 de 5 estrelas",15.987
117,https://www.amazon.com.br/iPhone-Spigen-Hybrid-Black-Anti-Impacto/dp/B07T5XKJ3V/ref=sr_1_118?dchild=1&keywords=iphone&qid=1607914789&sr=8-118,"4,5 de 5 estrelas",270
118,https://www.amazon.com.br/Transparente-Impacto-iPhone-Antichoque-Silicone/dp/B07SX96QLL/ref=sr_1_119?dchild=1&keywords=iphone&qid=1607914789&sr=8-119,"4,8 de 5 estrelas",11
119,https://www.amazon.com.br/Adaptador-iPhone-Lightning-Ouvido-Qualidade/dp/B084YYL12K/ref=sr_1_120?dchild=1&keywords=iphone&qid=1607914789&sr=8-120,"3,1 de 5 estrelas",154
120,https://www.amazon.com.br/Cabo-Lightning-para-USB-Metro/dp/B0097BEFYA/ref=sr_1_121?dchild=1&keywords=iphone&qid=1607914789&sr=8-121,"3,8 de 5 estrelas",26
121,https://www.amazon.com.br/Pel%C3%ADcula-Temperado-GEONAV-Protetora-Transparente/dp/B07C67221M/ref=sr_1_122?dchild=1&keywords=iphone&qid=1607914789&sr=8-122,"4,0 de 5 estrelas",92
122,https://www.amazon.com.br/projetado-carregamento-Scratch-Resistant-protetora-polegadas/dp/B08CXXMC6N/ref=sr_1_123?dchild=1&keywords=iphone&qid=1607914789&sr=8-123,"4,3 de 5 estrelas",76
123,https://www.amazon.com.br/Poliuretano-Customic-Protetora-Celular-Transparente/dp/B07K375P5P/ref=sr_1_124?dchild=1&keywords=iphone&qid=1607914789&sr=8-124,"4,7 de 5 estrelas",40
124,https://www.amazon.com.br/iPhone-Geonav-Protetora-Flex%C3%ADvel-Transparente/dp/B07QRTTTHY/ref=sr_1_125?dchild=1&keywords=iphone&qid=1607914789&sr=8-125,"4,5 de 5 estrelas",156
125,https://www.amazon.com.br/iPhone-Photography-Adventures-Kids-Learning-ebook/dp/B08QDY3KK3/ref=sr_1_126?dchild=1&keywords=iphone&qid=1607914789&sr=8-126,Sem avaliação,Sem avaliação
126,https://www.amazon.com.br/Lightning-Carregador-Emborrachado-KT810WCH-Chocolate/dp/B07Z13HF91/ref=sr_1_127?dchild=1&keywords=iphone&qid=1607914789&sr=8-127,"4,4 de 5 estrelas",41
